prenoms;nombre;sexe;annee
Sam;15;M;2004
Samantha;9;F;2004
Samba;11;M;2004
Sami;33;M;2004
Samir;7;M;2004
Samuel;96;M;2004
Samy;46;M;2004
Sana;7;F;2004
Sandra;14;F;2004
Sara;57;F;2004
Sarah;204;F;2004
Sasha;43;F;2004
Satine;6;F;2004
Scott;8;M;2004
Sebastian;6;M;2004
Sebastien;26;M;2004
Sekou;8;M;2004
Selma;20;F;2004
Serena;7;F;2004
Seydou;8;M;2004
Shaï;9;M;2004
Shana;31;F;2004
Sharon;6;F;2004
Sherine;10;F;2004
Shirel;59;F;2004
Sibylle;9;F;2004
Sidonie;19;F;2004
Simeon;7;M;2004
Simon;109;M;2004
Sirine;18;F;2004
Sixtine;35;F;2004
Skander;7;M;2004
Sofia;58;F;2004
Sofiane;35;M;2004
Sohane;7;F;2004
Solal;34;M;2004
Solène;47;F;2004
Solenn;6;F;2004
Soline;8;F;2004
Solveig;6;F;2004
Sonia;23;F;2004
Sophia;28;F;2004
Sophie;47;F;2004
Soraya;9;F;2004
Souleymane;17;M;2004
Stanislas;49;M;2004
Steeve;9;M;2004
Stefan;9;M;2004
Stella;42;F;2004
Stephane;18;M;2004
Stephanie;9;F;2004
Steven;18;M;2004
Suzanne;29;F;2004
Swann;17;M;2004
Sylvain;6;M;2004
Sylvia;6;F;2004
Sylvie;8;F;2004
Syrine;14;F;2004
Talia;18;F;2004
Tancrède;9;M;2004
Tanguy;17;M;2004
Tania;14;F;2004
Tao;6;M;2004
Tara;12;F;2004
Tatiana;15;F;2004
Teddy;7;M;2004
Teo;12;M;2004
Terence;6;M;2004
Tess;25;F;2004
Tessa;7;F;2004
Thaïs;24;F;2004
Thea;11;F;2004
Thelma;13;F;2004
Theo;128;M;2004
Theodore;23;M;2004
Theophile;34;M;2004
Thibaud;13;M;2004
Thibault;52;M;2004
Thibaut;18;M;2004
Thierry;11;M;2004
Thomas;286;M;2004
Tiago;13;M;2004
Tiffany;9;F;2004
Tim;6;M;2004
Timeo;9;M;2004
Timothe;12;M;2004
Timothee;70;M;2004
Tiphaine;24;F;2004
Titouan;46;M;2004
Tom;102;M;2004
Tony;15;M;2004
Toscane;15;F;2004
Tristan;76;M;2004
Ugo;18;M;2004
Ulysse;45;M;2004
Vadim;15;M;2004
Valentin;90;M;2004
Valentina;12;F;2004
Valentine;75;F;2004
Vanessa;17;F;2004
Vianney;12;M;2004
Victoire;70;F;2004
Victor;226;M;2004
Victoria;76;F;2004
Viktor;6;M;2004
Vincent;69;M;2004
Violette;40;F;2004
Virgil;6;M;2004
Virgile;20;M;2004
Virginie;8;F;2004
Viviane;12;F;2004
Vladimir;6;M;2004
Walid;17;M;2004
Wandrille;6;M;2004
Warren;6;M;2004
Wassim;19;M;2004
Wendy;6;F;2004
Wilfried;6;M;2004
William;66;M;2004
Wilson;7;M;2004
Xavier;19;M;2004
Yacine;44;M;2004
Yaël;11;F;2004
Yani;8;M;2004
Yanis;126;M;2004
Yann;56;M;2004
Yanni;6;M;2004
Yannick;9;M;2004
Yannis;15;M;2004
Yaron;7;M;2004
